listing_id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit (% of price),cleaning_fee (% of price),minimum_nights,cancellation_policy
27876997,f,Tasman,Cottage,Entire home/apt,6,1,2,6,Real Bed,$101.00 ,247.52%,0.00%,1,strict_14_with_grace_period
27877624,f,Hobart,Cottage,Entire home/apt,5,1,2,3,Real Bed,$145.00 ,0.00%,0.00%,2,moderate
27878751,f,Break O'Day,House,Entire home/apt,6,1,3,5,Real Bed,$129.00 ,0.00%,77.52%,1,moderate
27878875,f,Hobart,Serviced apartment,Private room,1,3,1,1,Real Bed,$70.00 ,0.00%,0.00%,1,flexible
27891540,f,Glenorchy,House,Private room,2,1,1,1,Real Bed,$74.00 ,0.00%,0.00%,1,flexible
27896451,f,Glenorchy,House,Private room,3,1,1,2,Real Bed,$74.00 ,0.00%,0.00%,1,flexible
27905966,f,Hobart,Apartment,Entire home/apt,8,2,4,6,Real Bed,$494.00 ,0.00%,0.00%,1,flexible
27917383,f,Central Coast,House,Entire home/apt,5,1,3,3,Real Bed,$90.00 ,0.00%,0.00%,1,flexible
27938941,t,Devonport,Apartment,Entire home/apt,6,1,2,2,Real Bed,$169.00 ,0.00%,0.00%,1,moderate
27940705,f,Glenorchy,Villa,Entire home/apt,4,1.5,2,2,Real Bed,$101.00 ,198.02%,49.50%,2,moderate
27963013,f,Brighton,Guesthouse,Entire home/apt,3,1,2,2,Real Bed,$125.00 ,0.00%,40.00%,2,flexible
27964311,f,West Tamar,Cottage,Entire home/apt,4,1,2,3,Real Bed,$198.00 ,101.01%,25.25%,1,flexible
27972559,f,Hobart,House,Entire home/apt,5,1,3,4,Real Bed,$147.00 ,0.00%,54.42%,2,strict_14_with_grace_period
27976136,f,Hobart,Serviced apartment,Private room,2,3,1,1,Real Bed,$65.00 ,0.00%,0.00%,1,flexible
27988870,f,Clarence,Guest suite,Private room,2,1,1,1,Real Bed,$50.00 ,0.00%,0.00%,1,flexible
27992057,f,Hobart,House,Entire home/apt,6,2,3,3,Real Bed,$185.00 ,324.32%,70.27%,2,flexible
27993836,f,West Coast,House,Entire home/apt,6,1,3,4,Real Bed,$200.00 ,0.00%,0.00%,1,flexible
27998938,f,Break O'Day,Campsite,Entire home/apt,16,1,0,50,Real Bed,$30.00 ,0.00%,0.00%,1,flexible
27999017,f,Break O'Day,Campsite,Entire home/apt,16,1,0,50,Real Bed,$30.00 ,0.00%,0.00%,1,flexible
27999098,f,Break O'Day,Campsite,Entire home/apt,16,1,0,50,Real Bed,$30.00 ,0.00%,0.00%,1,flexible
27999179,f,Break O'Day,Campsite,Entire home/apt,16,1,0,50,Real Bed,$30.00 ,0.00%,0.00%,1,flexible
28010827,f,Tasman,House,Entire home/apt,4,1,2,3,Real Bed,$180.00 ,0.00%,0.00%,2,flexible
28014855,f,Kingborough,House,Entire home/apt,6,2,3,3,Real Bed,$300.00 ,166.67%,0.00%,2,strict_14_with_grace_period
