"","V1","recom","V3"
"1344",35644,12139077,0.0870540935672514
"244",35644,2577965,0.0887419065849832
"3171",35644,22053702,0.0908991228070176
"42",35644,706423,0.0707680023228804
"41",35644,706348,0.0714829446144842
"537",35644,5052131,0.0778774528122212
"6121",35644,5633031,0.0800802414363491
"9581",35644,9257438,0.0827339485816442
"553",35644,5175454,0.0859846312843028
"2604",35644,19559411,0.0862140883289343
"21051",35644,16745479,0.0874265690181517
"1813",35644,15551988,0.0889356395464056
"2019",35644,16499737,0.0896479248264962
"1032",35644,9634884,0.091344186797526
"904",35644,8851769,0.0950077574889605
"188",35644,2217216,0.0959671940044074
"1145",35644,10372330,0.0974281345790656
"523",35644,4970992,0.0978220804536594
"3330",35644,22516185,0.0987593080826163
"3200",35644,22169362,0.100121104181255
"377",35644,4220105,0.100342425149525
"846",35644,8193378,0.100390406029504
"1538",35644,13804176,0.102295649908432
"2095",35644,16722435,0.0225339299928428
"5371",35644,5052131,0.108269015772956
"159",35644,2038583,0.110931176797169
"2353",35644,18012121,0.111972564121742
"2726",35644,20544131,0.111984720513565
"1607",35644,14351596,0.112355063390032
"421",35644,706423,0.112798312976576
"17",35644,421609,0.113910648434458
"2213",35644,17269356,0.113924673114083
"3898",35644,25387181,0.114145026205709
"3352",35644,22597836,0.0759474658830944
"560",35644,5232285,0.076198214024301
"206",35644,2315956,0.0772332976899083
"2343",35644,17980187,0.0790959734883215
"436",35644,4589766,0.0804093950025938
"1216",35644,10992608,0.0811405331507962
"1797",35644,15497852,0.082152293123786
"2134",35644,16847968,0.0838506083436959
"2596",35644,19491819,0.0846728702050721
"1652",35644,14673103,0.0870310411554651
"1811",35644,15537355,0.0664470606895608
"956",35644,9237537,0.0798695632098993
"2793",35644,20886153,0.0808763505402161
"229",35644,2447581,0.0822828245807905
"2650",35644,19848828,0.0871413481217403
"3165",35644,22050155,0.0886817804044695
"1526",35644,13685151,0.0889452359891325
"2160",35644,17015395,0.0894757903161265
"988",35644,9462302,0.0908763505402161
"2456",35644,18551778,0.0909355560405981
"2536",35644,19000202,0.0821502565056572
"2249",35644,17439560,0.0829531900220054
"422",35644,4491644,0.083925072498016
"4205",35644,28392870,0.0880629360071869
"2534",35644,18999990,0.0894204782183876
"2535",35644,19000155,0.089609692642253
"2121",35644,16801689,0.0901615625309005
"3862",35644,25087356,0.0930409347904305
"108",35644,1417161,0.0940946883804027
"1124",35644,10225146,0.0951161576908872
"1003",35644,9499428,0.0449660381618108
"2928",35644,21413831,0.0466781637513345
"1532",35644,13739230,0.0882299741602067
"2568",35644,19253223,0.0899327172271018
"2616",35644,19641414,0.0908012548811335
"1685",35644,14973897,0.0919115214796278
"207",35644,2316391,0.0959401202341402
"2617",35644,19641881,0.0980729978155227
"9781",35644,9411742,0.100419033326618
"1846",35644,15748563,0.101898370595258
"266",35644,2899119,0.0533325621300634
"280",35644,3095300,0.0553959131545338
"1192",35644,10777111,0.0586477344561013
"2460",35644,18589675,0.0664803810413054
"2321",35644,17813805,0.0748594182417712
"703",35644,6330509,0.0765385996295751
"3407",35644,22884537,0.0769285491974568
"457",35644,4675011,0.077607386388899
"2417",35644,18346805,0.0802304911863735
"1545",35644,13830806,0.0804866799502952
"1167",35644,10506266,0.0897747009617279
"1007",35644,9532857,0.0898711654106722
"34071",35644,22884537,0.0911922588956647
"1674",35644,14887651,0.0927525301574963
"1213",35644,10948372,0.0955033519863227
"994",35644,9466291,0.0958653310143376
"2471",35644,18648709,0.0977009075021557
"2098",35644,16725395,0.0979307980466921
"2661",35644,2899119,0.0999965393646165
"2801",35644,3095300,0.100482281519619
"3533",35644,23313547,0.0549574973880905
