,listing_id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit (% of price),cleaning_fee (% of price),minimum_nights,cancellation_policy,experience,view,décor_and_amenities,neighborhood_and_access,host,weather_and_amenties,food,overall_avg
59,865890,f,West Tamar,Guest suite,Private room,3,1.0,1,2,Real Bed,$129.00 ,0.00%,0.00%,1,strict_14_with_grace_period,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,1.0,1.0
60,871057,t,Launceston,Guest suite,Entire home/apt,4,1.0,1,2,Real Bed,$94.00 ,0.00%,21.28%,1,moderate,1.0,1.0,1.0,0.9885714285714285,1.0,0.9272727272727272,1.0,1.0
61,877502,f,Launceston,House,Private room,2,0.0,1,1,Real Bed,$61.00 ,245.90%,63.93%,2,flexible,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,881361,t,Break O'Day,House,Entire home/apt,2,1.0,1,1,Real Bed,$101.00 ,0.00%,0.00%,3,strict_14_with_grace_period,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.7777777777777778,0.9230769230769231
63,882644,f,Launceston,House,Private room,2,1.5,2,3,Real Bed,$61.00 ,245.90%,106.56%,2,moderate,1.0,1.0,1.0,0.9743589743589743,1.0,0.9583333333333334,1.0,1.0
64,890908,t,Hobart,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,$99.00 ,0.00%,0.00%,3,flexible,1.0,1.0,0.9809523809523809,0.956989247311828,1.0,1.0,0.9090909090909091,0.9834710743801653
65,890909,t,Kingborough,Farm stay,Entire home/apt,2,1.0,1,1,Real Bed,$135.00 ,0.00%,0.00%,2,moderate,1.0,1.0,1.0,0.9310344827586207,1.0,0.9333333333333333,1.0,1.0
66,905873,f,Launceston,House,Entire home/apt,12,1.5,3,9,Real Bed,$156.00 ,0.00%,0.00%,1,strict_14_with_grace_period,1.0,0.8333333333333334,0.9333333333333333,0.8867924528301887,0.7647058823529411,0.68,0.6363636363636364,0.9328859060402684
67,906059,f,West Tamar,Guest suite,Entire home/apt,2,1.0,1,2,Real Bed,$125.00 ,80.00%,36.00%,2,moderate,0.9523809523809523,0.975,1.0,0.967741935483871,1.0,1.0,0.9545454545454546,0.9764705882352941
68,906304,f,Hobart,Apartment,Entire home/apt,4,1.0,2,4,Real Bed,$189.00 ,79.37%,37.04%,2,moderate,1.0,1.0,0.9878787878787879,0.9874213836477987,0.9629629629629629,0.72,1.0,0.9797979797979798
69,920041,f,Kentish,Bed and breakfast,Private room,2,1.0,1,1,Real Bed,$185.00 ,0.00%,0.00%,1,strict_14_with_grace_period,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
70,921584,t,Huon Valley,House,Entire home/apt,6,2.0,3,6,Real Bed,$85.00 ,0.00%,70.59%,2,moderate,0.9215686274509803,0.9459459459459459,0.9851851851851852,0.9746835443037974,1.0,0.8823529411764706,0.9545454545454546,0.967032967032967
71,932793,f,Hobart,Apartment,Private room,2,1.0,1,1,Real Bed,$51.00 ,0.00%,0.00%,1,moderate,1.0,1.0,1.0,0.7142857142857143,0.8,1.0,,1.0
72,950294,t,Waratah/Wynyard,House,Entire home/apt,6,1.0,3,5,Real Bed,$105.00 ,0.00%,0.00%,2,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8823529411764706
73,951788,f,Dorset,Apartment,Entire home/apt,6,1.0,2,4,Real Bed,$120.00 ,0.00%,33.33%,1,strict_14_with_grace_period,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667
74,953965,t,Hobart,Apartment,Entire home/apt,4,1.0,2,2,Real Bed,$160.00 ,0.00%,46.88%,1,moderate,1.0,0.9823008849557522,1.0,1.0,0.9753086419753086,0.9444444444444444,1.0,1.0
75,967962,f,Launceston,House,Entire home/apt,7,1.0,3,4,Real Bed,$165.00 ,181.82%,30.30%,2,strict_14_with_grace_period,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,969333,f,Huon Valley,House,Entire home/apt,8,2.0,4,5,Real Bed,$249.00 ,100.40%,35.74%,1,moderate,1.0,0.9726027397260274,1.0,1.0,1.0,0.8947368421052632,1.0,1.0
77,971545,f,Hobart,Apartment,Entire home/apt,4,1.0,2,4,Real Bed,$158.00 ,94.94%,44.30%,2,moderate,0.9565217391304348,0.9736842105263158,0.967479674796748,0.9813084112149533,1.0,1.0,0.9,1.0
