reviewer_id,listing_id
79133,3364772
79854,453815
79854,3803224
79854,3805401
80637,1779644
80772,5706900
80772,10018494
81682,17559808
81682,20413371
82068,4299394
83172,706423
83221,8656421
83539,20572544
83539,21684650
83951,2062871
84281,19988308
85221,753283
85221,9261048
85221,22797051
85221,22884537
85863,2090932
86250,9116159
86250,10838381
87529,5405813
88819,3901859
89309,8783425
89457,88873
90093,14997912
92120,12174046
93006,4918824
93270,15255997
94287,21927659
94675,515646
94693,15805331
94693,16233557
94693,18064514
94693,20902414
94890,971545
95260,17999571
97002,6752309
97136,421609
97136,4113665
97616,2795033
98829,15436755
99945,706423
100387,13788204
101270,820278
101270,15748563
101270,22893088
102087,4238200
102087,5040810
103130,1485274
103629,5739833
104044,5729562
105300,20959980
106207,421609
106207,3805401
106207,5492422
106858,14094409
106858,15007589
107634,1365222
107634,9464644
108111,967962
108217,1090688
108217,22890697
108965,18859668
109663,4938164
109663,9683638
110348,513528
110792,1525866
110792,2256587
110792,3706908
111716,5155617
112129,706423
112962,2884365
113144,22719491
113504,4623868
113504,9100643
114875,7095966
116239,7186034
116346,4087806
116413,162081
116413,5575264
116413,22432200
116506,21929209
116719,4048605
117269,2165898
117269,16547189
117280,5981466
117442,16257763
117833,4938164
117833,13848758
117881,11104939
118221,3325783
119513,15347569
120441,2419743
120441,4596011
120523,21667925
120879,2508981
120879,23010497
120889,2578691
120889,9830217
120889,10322417
121562,706348
121562,19251096
124460,1824421
125037,4352581
125037,14560142
126642,7992862
126869,7080698
126869,9032049
126904,15748563
127639,7389116
127639,11699746
128599,11050418
129847,1024585
130158,17513548
131326,4582320
131334,753283
131334,12075515
131442,14241716
131442,19186904
131442,23857285
131777,3811781
132071,18264318
133195,905873
133195,8493263
133920,4632720
133920,10090624
134407,15513119
134573,1365222
134573,2362369
134574,3536872
134574,8783685
135261,4238200
135261,13351523
135261,13819352
135261,16204616
135345,12843596
135582,4582320
135772,890908
136405,35644
136405,13117612
139078,1734662
139078,22893088
139161,15513119
139161,16681179
139161,21927900
139184,2256587
139770,2256587
139770,9720041
139770,10523023
139770,13118634
139770,20596768
139770,21426868
140926,38951
141061,13788204
141817,4087806
142573,2165898
142937,667377
143385,20544131
143902,15225694
143926,11573138
144015,9683638
144015,14671930
144677,1743681
144836,25408584
144858,6317606
144858,14952758
145773,14697480
145888,13788204
146521,4886912
146521,9720041
147662,1298395
147662,22506037
148017,9981496
148073,1101352
148290,12785987
148605,3241291
148605,6159523
148605,9000016
148779,708702
