listing_id,f0n,f0p,f1n,f1p,f2n,f2p,f3n,f3p,f4n,f4p,f5n,f5p,f6n,f6p,f7n,f7p
21506478,0.0030864197530864196,0.07716049382716049,0.0030864197530864196,0.21604938271604937,0.0030864197530864196,0.19753086419753085,0.006172839506172839,0.2777777777777778,0.006172839506172839,0.2716049382716049,0.0,0.2654320987654321,0.0030864197530864196,0.05864197530864197,0.0030864197530864196,0.09259259259259259
21508913,0.0,0.07407407407407407,0.0,0.37037037037037035,0.0,0.37037037037037035,0.07407407407407407,0.5555555555555556,0.0,0.25925925925925924,0.0,0.14814814814814814,0.0,0.1111111111111111,0.0,0.07407407407407407
21509542,0.0,0.04406779661016949,0.010169491525423728,0.19661016949152543,0.003389830508474576,0.24745762711864408,0.010169491525423728,0.3864406779661017,0.01694915254237288,0.39322033898305087,0.0,0.13559322033898305,0.006779661016949152,0.04745762711864407,0.0,0.013559322033898305
21517912,0.0,0.02564102564102564,0.0,0.1794871794871795,0.0,0.02564102564102564,0.0,0.5128205128205128,0.0,0.3333333333333333,0.0,0.3076923076923077,0.0,0.0,0.0,0.05128205128205128
21518502,0.0,0.1,0.0,0.2,0.0,0.25,0.0,0.4,0.0,0.55,0.0,0.2,0.0,0.05,0.0,0.05
21521667,0.0,0.07894736842105263,0.0,0.21052631578947367,0.0,0.18421052631578946,0.0,0.2894736842105263,0.0,0.21052631578947367,0.0,0.34210526315789475,0.0,0.02631578947368421,0.0,0.05263157894736842
21530820,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
21530953,0.0,0.03389830508474576,0.0,0.2288135593220339,0.0,0.22033898305084745,0.0,0.2457627118644068,0.0,0.2457627118644068,0.0,0.1694915254237288,0.0,0.01694915254237288,0.0,0.1016949152542373
21531562,0.0,0.0398406374501992,0.0,0.199203187250996,0.0,0.16334661354581673,0.0,0.46613545816733065,0.0,0.3665338645418327,0.0,0.10358565737051793,0.0,0.035856573705179286,0.0,0.027888446215139442
21533130,0.0,0.08771929824561403,0.03508771929824561,0.22807017543859648,0.017543859649122806,0.2807017543859649,0.05263157894736842,0.22807017543859648,0.017543859649122806,0.3157894736842105,0.017543859649122806,0.03508771929824561,0.0,0.10526315789473684,0.0,0.03508771929824561
21538682,0.0,0.023529411764705882,0.011764705882352941,0.24705882352941178,0.0,0.3058823529411765,0.0,0.27058823529411763,0.011764705882352941,0.4117647058823529,0.0,0.1411764705882353,0.0,0.03529411764705882,0.0,0.023529411764705882
